"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C8","3","10uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C6,C7,C9,C10,C15,C16","7","100nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C4,C5","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C11,C12,C13,C14","4","22pF","","","","Capacitor_SMD:C_0402_1005Metric",""
"D1","1","LED rot","","","","LED_SMD:LED_0805_2012Metric",""
"D2","1","LED blau","","","","LED_SMD:LED_0805_2012Metric",""
"D3","1","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x02","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J3","1","LED","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J4","1","Taster","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J5","1","Speaker","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J6","1","Conn_02x03_Counter_Clockwise","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"L1,L2","2","10uH","","","","Inductor_SMD:L_0805_2012Metric",""
"Q1","1","FS8205A","","","","Package_TO_SOT_SMD:SOT-23-6",""
"R1,R2,R6","3","1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R3","1","2k4","","","","Resistor_SMD:R_0402_1005Metric",""
"R4","1","0,47ohm","","","","Resistor_SMD:R_0402_1005Metric",""
"R5","1","470R","","","","Resistor_SMD:R_0402_1005Metric",""
"R7","1","180k","","","","Resistor_SMD:R_0402_1005Metric",""
"R8","1","27k","","","","Resistor_SMD:R_0402_1005Metric",""
"R9","1","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"R10,R11","2","5k1","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U2","1","DW01A","","","","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF"
"U3","1","MT3608","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf"
"U4","1","ATMEGA328P-AU","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"U5","1","CH340G","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953"
"U6","1","DFR0299","","","","TEAM_Custom:MODULE_DFR0299",""
"Y1","1","16MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
"Y2","1","12MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
